date,Confirmed,Deaths,Recovered
2020-01-22 00:00:00,0.0,0.0,0.0
2020-01-23 00:00:00,0.0,0.0,0.0
2020-01-24 00:00:00,0.0,0.0,0.0
2020-01-25 00:00:00,0.0,0.0,0.0
2020-01-26 00:00:00,0.0,0.0,0.0
2020-01-27 00:00:00,0.0,0.0,0.0
2020-01-28 00:00:00,0.0,0.0,0.0
2020-01-29 00:00:00,0.0,0.0,0.0
2020-01-30 00:00:00,0.0,0.0,0.0
2020-01-31 00:00:00,0.0,0.0,0.0
2020-02-01 00:00:00,0.0,0.0,0.0
2020-02-02 00:00:00,0.0,0.0,0.0
2020-02-03 00:00:00,0.0,0.0,0.0
2020-02-04 00:00:00,0.0,0.0,0.0
2020-02-05 00:00:00,0.0,0.0,0.0
2020-02-06 00:00:00,0.0,0.0,0.0
2020-02-07 00:00:00,0.0,0.0,0.0
2020-02-08 00:00:00,0.0,0.0,0.0
2020-02-09 00:00:00,0.0,0.0,0.0
2020-02-10 00:00:00,0.0,0.0,0.0
2020-02-11 00:00:00,0.0,0.0,0.0
2020-02-12 00:00:00,0.0,0.0,0.0
2020-02-13 00:00:00,0.0,0.0,0.0
2020-02-14 00:00:00,0.0,0.0,0.0
2020-02-15 00:00:00,0.0,0.0,0.0
2020-02-16 00:00:00,0.0,0.0,0.0
2020-02-17 00:00:00,0.0,0.0,0.0
2020-02-18 00:00:00,0.0,0.0,0.0
2020-02-19 00:00:00,0.0,0.0,0.0
2020-02-20 00:00:00,0.0,0.0,0.0
2020-02-21 00:00:00,0.0,0.0,0.0
2020-02-22 00:00:00,0.0,0.0,0.0
2020-02-23 00:00:00,0.0,0.0,0.0
2020-02-24 00:00:00,0.0,0.0,0.0
2020-02-25 00:00:00,1.0,0.0,0.0
2020-02-26 00:00:00,1.0,0.0,0.0
2020-02-27 00:00:00,1.0,0.0,0.0
2020-02-28 00:00:00,1.0,0.0,0.0
2020-02-29 00:00:00,1.0,0.0,0.0
2020-03-01 00:00:00,1.0,0.0,0.0
2020-03-02 00:00:00,3.0,0.0,0.0
2020-03-03 00:00:00,5.0,0.0,0.0
2020-03-04 00:00:00,12.0,0.0,0.0
2020-03-05 00:00:00,12.0,0.0,0.0
2020-03-06 00:00:00,17.0,0.0,0.0
2020-03-07 00:00:00,17.0,0.0,0.0
2020-03-08 00:00:00,19.0,0.0,0.0
2020-03-09 00:00:00,20.0,0.0,0.0
2020-03-10 00:00:00,20.0,0.0,0.0
2020-03-11 00:00:00,20.0,0.0,0.0
2020-03-12 00:00:00,24.0,1.0,8.0
2020-03-13 00:00:00,26.0,2.0,8.0
2020-03-14 00:00:00,37.0,3.0,12.0
2020-03-15 00:00:00,48.0,4.0,12.0
2020-03-16 00:00:00,54.0,4.0,12.0
2020-03-17 00:00:00,60.0,4.0,12.0
2020-03-18 00:00:00,74.0,7.0,12.0
2020-03-19 00:00:00,87.0,9.0,32.0
2020-03-20 00:00:00,90.0,11.0,32.0
2020-03-21 00:00:00,139.0,15.0,32.0
2020-03-22 00:00:00,201.0,17.0,65.0
2020-03-23 00:00:00,230.0,17.0,65.0
2020-03-24 00:00:00,264.0,19.0,24.0
2020-03-25 00:00:00,302.0,21.0,65.0
2020-03-26 00:00:00,367.0,25.0,29.0
2020-03-27 00:00:00,409.0,26.0,29.0
2020-03-28 00:00:00,454.0,29.0,31.0
2020-03-29 00:00:00,511.0,31.0,31.0
2020-03-30 00:00:00,584.0,35.0,37.0
2020-03-31 00:00:00,716.0,44.0,46.0
2020-04-01 00:00:00,847.0,58.0,61.0
2020-04-02 00:00:00,986.0,86.0,61.0
2020-04-04 13:03:00,1171.0,105.0,62.0
2020-04-05 07:55:00,1251.0,130.0,90.0
2020-04-05 16:34:00,1251.0,130.0,90.0
2020-04-05 16:34:00,1251.0,130.0,90.0
